"Name","m/z","RT [min]","HMDB","KEGG","Super_Class","Class","Sub_Class","log2FC_Processing_1","log2FC_Processing_2","log2FC_Processing_3","log2FC_Processing_4","PC1","PC2","Strength_PC1_PC2","Rank_Strength"
"3-Hydroxyjuglone",189.02219,6.183,"","","Benzenoids","Naphthalenes","Naphthoquinones",NA,NA,NA,NA,-0.0390158209891955,0.00456549438094712,0.0392820318517692,480
"20-Hydroxytubocapsanolide A",483.24167,8.672,"","","Unknown","","",NA,NA,NA,NA,0.0211880226457516,-0.0330715275221569,0.0392766882041455,481
"Coprismycin B",273.07275,1.073,"","","Organoheterocyclic compounds","Pyridines and derivatives","Phenylpyridines",NA,NA,NA,NA,-0.0309781305880226,0.0241442974420235,0.0392758408401079,482
"1-ethyl-6,7,8-trihydroxy-9a,11a-dimethyl-hexadecahydro-1H-cyclopenta[a]phenanthren-2-one",351.25342,7.245,"","","Lipids and lipid-like molecules","Steroids and steroid derivatives","Pregnane steroids",NA,NA,NA,NA,-0.0383699081855633,0.00838627856693309,0.0392756861476761,483
"GEIR-1",211.0609,3.937,"","","Organoheterocyclic compounds","Furopyrans","",NA,NA,NA,NA,-0.0385689707588817,0.0073453744470721,0.0392621959544696,484
"racemosalactone B",299.10406,4.554,"","","Lipids and lipid-like molecules","Prenol lipids","Terpene lactones",NA,NA,NA,NA,-0.0372440828566488,0.0124039437099508,0.0392553120913915,485
"3-hydroxy-8a-methyl-3-(prop-1-en-2-yl)-1,2,3,3a,4,5,8,8a-octahydroazulene-6-carbaldehyde",235.16956,5,"","","Lipids and lipid-like molecules","Prenol lipids","Sesquiterpenoids",NA,NA,NA,NA,-0.0391996249451802,-0.00187284280099924,0.0392443389038476,486
"Hemsleyatine",483.30914,8.64,"","","Lipids and lipid-like molecules","Prenol lipids","Diterpenoids",NA,NA,NA,NA,-0.0387887743487937,0.00592893522726342,0.0392392824655436,487
"3-oxo-nonadecanoic acid",313.2739,8.733,"","","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates",NA,NA,NA,NA,0.0327165673438546,-0.0216339648926093,0.0392224708010552,488
"7-{[(2e)-3,7-dimethylocta-2,6-dien-1-yl]oxy}-1,3-dihydroxyxanthen-9-one",379.1579,8.872,"","","Organoheterocyclic compounds","Benzopyrans","1-benzopyrans",NA,NA,NA,NA,-0.0322037580989617,0.0223039283777906,0.039173297752143,489
"Pestalospirane A",407.1521,8.666,"","","Benzenoids","Phenols","1-hydroxy-4-unsubstituted benzenoids",NA,NA,NA,NA,0.0391674921355629,0.000653021629380055,0.0391729355223452,490
"1,5,12,12-tetramethyl-6-azatricyclo[7.2.1.0,]dodeca-2(7),3,5-triene",216.17422,5.022,"","","Unknown","","",NA,NA,NA,NA,-0.0388398492522911,-0.00507108905119617,0.0391695013257235,491
"Anthracyclinone Blue B",452.12915,0.616,"","","Benzenoids","Naphthacenes","Tetracenequinones",NA,NA,NA,NA,-0.0194825030397527,0.0339726879540359,0.0391626282508754,492
"illihenryifunone C",269.13858,5.027,"","","Organoheterocyclic compounds","Benzofurans","",NA,NA,NA,NA,-0.0211442745167227,-0.0329550028585516,0.039154981269893,493
"4'-METHOXYFLAVONE",253.0856,6.481,"","","Phenylpropanoids and polyketides","Flavonoids","O-methylated flavonoids",NA,NA,NA,NA,0.036992032589337,-0.0128321807580723,0.0391545059743883,494
"2,4,2',4'-Tetrahydroxychalcone",271.06467,4.375,"","","Phenylpropanoids and polyketides","Linear 1,3-diarylpropanoids","Chalcones and dihydrochalcones",NA,NA,NA,NA,-0.00233106303069746,-0.0390666091113425,0.0391360933450378,495
"2-keto palmitic acid",269.21249,8.15,"","","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates",NA,NA,NA,NA,-0.0197101505198102,0.033805582791145,0.0391319238137168,496
"Asterogenol",333.24384,8.344,"","","Lipids and lipid-like molecules","Steroids and steroid derivatives","Androstane steroids",NA,NA,NA,NA,-0.0391020988766426,0.0013571793857919,0.0391256446904579,497
"Doryanine",202.05087,5.239,"","","Organoheterocyclic compounds","Isoquinolines and derivatives","Isoquinolones and derivatives",NA,NA,NA,NA,-0.0354344238172672,0.0165779692729967,0.0391206781188432,498
"2-Deoxyadenosine",252.10858,0.687,"HMDB0000101","C00559","Nucleosides, nucleotides, and analogues","Purine nucleosides","Purine 2'-deoxyribonucleosides",NA,NA,NA,NA,-0.0336818883314122,0.0198972251987314,0.0391199331821867,499
"(1r,15s,23s)-6-hydroxy-9,11-dimethoxy-22-oxahexacyclo[10.10.2.0,.0,.0,.0,]tetracosa-2,4,6,8,10,12(24),16,18,20-nonaen-13-one",399.12601,8.064,"","","Unknown","","",NA,NA,NA,NA,0.0135567193420086,0.036665368595684,0.0390913531816867,500
"Dihydroalbocycline",309.20676,6.843,"","C15753","Phenylpropanoids and polyketides","Macrolides and analogues","",NA,NA,NA,NA,-0.0389699576498618,0.00292342421613421,0.0390794576264756,501
"(1s,6s,8s,8ar)-octahydroindolizine-1,6,8-triol",172.09775,3.606,"","","Organoheterocyclic compounds","Indolizidines","",NA,NA,NA,NA,0.00398869910700005,0.0388498839097748,0.0390541060628606,502
"2,4-bis[2-(3,4-dimethoxyphenyl)ethenyl]oxolane",395.18811,8.736,"","","Phenylpropanoids and polyketides","Diarylheptanoids","Linear diarylheptanoids",NA,NA,NA,NA,0.0276466650891645,0.0275789922596938,0.0390504661254213,503
"5,7-dihydroxy-3-(3-hydroxyoxolan-2-yl)chromen-4-one",263.05893,4.722,"","","Organoheterocyclic compounds","Benzopyrans","1-benzopyrans",NA,NA,NA,NA,-0.0281683927076102,0.0270389892587523,0.0390456820642829,504
"Spathullin B",202.0862,3.972,"","","Benzenoids","Phenols","1-hydroxy-4-unsubstituted benzenoids",NA,NA,NA,NA,-0.0361397465304745,0.0147630901267484,0.0390388282275152,505
"7-Methoxy-1-methyltetralin",177.12706,7.928,"","","Benzenoids","Tetralins","",NA,NA,NA,NA,-0.00402181381096713,0.0388257856020165,0.0390335319173635,506
"(2z)-6-methylidene-2-(4-methylpent-3-en-1-yl)octa-2,7-dien-1-yl acetate",263.2002,7.064,"","","Lipids and lipid-like molecules","Prenol lipids","Sesquiterpenoids",NA,NA,NA,NA,-0.0371904477671083,0.0118392864212483,0.0390294518035082,507
"Vibsanol",343.11758,5.398,"","","Phenylpropanoids and polyketides","2-arylbenzofuran flavonoids","",NA,NA,NA,NA,-0.0345760784873051,0.0180743088318263,0.0390152001572273,508
"Erucamide",338.34042,7.978,"HMDB0244507","","Lipids and lipid-like molecules","Fatty Acyls","Fatty amides",NA,NA,NA,NA,0.025968177181048,-0.0291066620456449,0.0390069737552875,509
"N-ACETYLGLUCOSAMINE",204.0865,0.656,"","","Unknown","","",NA,NA,NA,NA,-0.0376842618461441,0.0100622081525821,0.0390045077368584,510
"L-Pyroglutamic acid",128.03537,0.955,"HMDB0000267","C01879","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",NA,NA,NA,NA,-0.00359103693888183,-0.0388242625741201,0.0389899847489152,511
"5-Hydroxy-2,8-Dimethyl-6,7-Dimethoxy Chromone",249.08044,4.586,"","","Organoheterocyclic compounds","Benzopyrans","1-benzopyrans",NA,NA,NA,NA,-0.0388568515545426,0.00317884770439622,0.0389866642002045,512
"Sclerotiotide E",431.27408,7.916,"","","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",NA,NA,NA,NA,0.0387204625705265,0.00452943408868101,0.0389844840268439,513
"Plastin C",629.40173,8.905,"","","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",NA,NA,NA,NA,0.0383265974099401,0.00712103180331338,0.0389825238147484,514
"Vaccinol J",273.14874,6.147,"","","Benzenoids","Benzene and substituted derivatives","Benzyl alcohols",NA,NA,NA,NA,-0.0373060935532579,0.0112073477103631,0.0389531675079885,515
"Pestalotioprolide C",255.16035,5.958,"","","Phenylpropanoids and polyketides","Macrolides and analogues","",NA,NA,NA,NA,-0.0389477548779873,-9.1826798303157e-05,0.0389478631274769,516
"Cycloneran-3,7,11-triol",257.2117,7.859,"","","Lipids and lipid-like molecules","Prenol lipids","Sesquiterpenoids",NA,NA,NA,NA,-0.0380270457616725,0.0083882565134067,0.0389412256701692,517
"3-hydroxy-3,5,5-trimethyl-7-(propan-2-yl)-2,3,4,5-tetrahydro-1H-inden-1-one",235.1696,3.899,"","","Lipids and lipid-like molecules","Prenol lipids","Sesquiterpenoids",NA,NA,NA,NA,-0.0389365332294702,0.000392790637339021,0.0389385144094433,518
"Palmarumycin B5",387.10703,5.041,"","","Phenylpropanoids and polyketides","Isoflavonoids","O-methylated isoflavonoids",NA,NA,NA,NA,-0.036872219496057,-0.0125111133971208,0.0389369815085996,519
"NICOTINATE",124.03913,0.938,"","","Unknown","","",NA,NA,NA,NA,-0.0366961287149676,0.0130087486145299,0.038933705233146,520
"Phloionolic acid",331.24503,5.406,"HMDB0034295","C19621","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates",NA,NA,NA,NA,-0.0375229037189955,0.0103211562027527,0.0389165076653421,521
"1-hydroxy-3-{[3-(4-hydroxy-3-methoxyphenyl)prop-2-enoyl]oxy}propan-2-yl 3-(4-hydroxyphenyl)prop-2-enoate",413.1225,5.451,"","","Phenylpropanoids and polyketides","Cinnamic acids and derivatives","Hydroxycinnamic acids and derivatives",NA,NA,NA,NA,-0.038848863434054,0.0022741360083334,0.0389153682328997,522
"1,3-dihydroxypropan-2-yl 3-(4-hydroxyphenyl)prop-2-enoate",237.07631,4.116,"","","Phenylpropanoids and polyketides","Cinnamic acids and derivatives","Hydroxycinnamic acids and derivatives",NA,NA,NA,NA,-0.0388326911908067,0.00248286821801407,0.0389119845254464,523
"CREATINE",132.07674,0.624,"HMDB0000064","C00300","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",NA,NA,NA,NA,0.0352735146155432,-0.016387352815623,0.0388942947697557,524
"5-hydroxyculmorin",219.17455,4.908,"","","Lipids and lipid-like molecules","Prenol lipids","Monoterpenoids",NA,NA,NA,NA,-0.0317157788599002,0.0225110476609414,0.0388926457763324,525
"Carnegine",222.14622,5.148,"","C09375","Organoheterocyclic compounds","Tetrahydroisoquinolines","",NA,NA,NA,NA,0.0244151746012614,0.0302663261879494,0.0388863890291376,526
"roccellic acid",299.22202,7.198,"","","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates",NA,NA,NA,NA,-0.0386774277289846,0.00397009846926867,0.0388806519696689,527
"(1r,2r,5r,6r,7r,8r,9r)-8-(acetyloxy)-5-hydroxy-6-(hydroxymethyl)-2,10,10-trimethyl-11-oxatricyclo[7.2.1.0,]dodecan-7-yl benzoate",431.20706,7.485,"","","Unknown","","",NA,NA,NA,NA,0.0227696003086719,0.0315102418409943,0.0388760856966673,528
"4-Hydroxyquinoline",144.04547,4.685,"HMDB0246466","C06343","Organoheterocyclic compounds","Quinolines and derivatives","Quinolones and derivatives",NA,NA,NA,NA,-0.0293134731394805,0.0255323070795995,0.0388738782771415,529
"12',14-diethyl-14',16-dioxa-8,8',17',19-tetraazaspiro[heptacyclo[10.9.1.1,.0,.0,.0,.0,]tricosane-10,10'-hexacyclo[10.7.1.0,.0,.0,.0,]icosane]-2,2',4,4',6,6',8'-heptaen-22-ol",629.35175,9.081,"","","Unknown","","",NA,NA,NA,NA,-0.0083717286704459,-0.0379208352803027,0.0388339489272906,530
"BETAINE",118.08619,0.627,"","","Unknown","","",NA,NA,NA,NA,-0.0379375655606716,0.00816133115778366,0.038805491968757,531
"4-(4-hydroxy-3,5-dimethoxyphenyl)-5-methyloxolan-2-one",251.09213,5.936,"","","Benzenoids","Phenols","Methoxyphenols",NA,NA,NA,NA,0.0105051309683081,0.0373493881548389,0.0387986413705702,532
"6H-benzo[c]chromen-6-one",195.0455,5.661,"","","Phenylpropanoids and polyketides","Coumarins and derivatives","",NA,NA,NA,NA,-0.037310475787116,-0.0104578029320321,0.0387483837808261,533
"Mansonone A",233.15335,7.963,"","","Lipids and lipid-like molecules","Prenol lipids","Sesquiterpenoids",NA,NA,NA,NA,-0.0375049328155047,0.00966885575951162,0.0387312116669975,534
"alpha-oxo-1h-indole-3-propanoic acid",204.08105,6.217,"HMDB0060484","C00331","Organoheterocyclic compounds","Indoles and derivatives","Indolyl carboxylic acids and derivatives",NA,NA,NA,NA,-0.0385786680002921,0.0034119407988572,0.0387292520543796,535
"(+)-Costunolide",233.15337,7.816,"HMDB0036688","C09382","Lipids and lipid-like molecules","Prenol lipids","Terpene lactones",NA,NA,NA,NA,-0.0345853310078616,0.0174122750639395,0.0387212143898619,536
"Deoxyuridine",227.06737,1.073,"HMDB0000012","C00526","Nucleosides, nucleotides, and analogues","Pyrimidine nucleosides","Pyrimidine 2'-deoxyribonucleosides",NA,NA,NA,NA,-0.0312500442490382,0.022862026504771,0.0387199886553663,537
"Carexane L",353.14227,8.784,"","","Benzenoids","Indanes","Indanones",NA,NA,NA,NA,-0.0376514567583097,-0.00886090010328158,0.0386800691139921,538
"PHENETHYLAMINE",243.18309,3.266,"","","Unknown","","",NA,NA,NA,NA,-0.00998242008487435,-0.0373508419925392,0.0386617913229913,539
"Benzo(f)quinoline",180.0811,6.121,"HMDB0249008","","Organoheterocyclic compounds","Quinolines and derivatives","Benzoquinolines",NA,NA,NA,NA,-0.038604518952239,-0.00205773464405861,0.0386593217141628,540
"PC(O-18:0/15:1(9Z))",732.59888,8.717,"","","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphocholines",NA,NA,NA,NA,0.0303580262530767,-0.0239158600785375,0.0386468384383339,541
"2,3-dihydroxypropyl hexadecanoate",331.28448,8.733,"HMDB0011564","","Lipids and lipid-like molecules","Glycerolipids","Monoradylglycerols",NA,NA,NA,NA,0.0304810540817411,-0.0237526002254387,0.0386429899904696,542
"HIAA",192.1597,0.687,"","","Unknown","","",NA,NA,NA,NA,0.0386022625201945,0.00122113549214865,0.0386215722565537,543
"Di-O-methylfraxetin",237.0751,5.55,"","","Phenylpropanoids and polyketides","Coumarins and derivatives","",NA,NA,NA,NA,-0.0377140210649404,0.00828002898202011,0.0386122553709293,544
"L-Glutamate",130.04961,0.954,"HMDB0000148","C00025","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",NA,NA,NA,NA,-0.00273999544677458,-0.0384946926744479,0.0385920838922769,545
"Indospicine",174.12788,7.99,"HMDB0245671","C08288","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",NA,NA,NA,NA,0.0385731037560206,0.000212192012495732,0.0385736873895004,546
"LPE 18:1",478.29355,7.424,"HMDB0011475","","Lipids and lipid-like molecules","Glycerophospholipids","Glycerophosphoethanolamines",NA,NA,NA,NA,-0.0220252164297368,0.0316089803940773,0.0385258069393739,547
"3-acetyl indole",160.07555,4.81,"","","Organoheterocyclic compounds","Indoles and derivatives","Indoles",NA,NA,NA,NA,-0.037573495380724,-0.00849235044333887,0.038521261287473,548
"10-hydroxy-6,10-dimethylundeca-5,8-dien-2-one",211.1692,5.912,"","","Organic oxygen compounds","Organooxygen compounds","Alcohols and polyols",NA,NA,NA,NA,0.0198372555753857,0.0330174185702428,0.0385183934998045,549
"6-chloro-2,5,16-trihydroxy-17-{2-hydroxy-1,6-dimethyl-3,7-dioxabicyclo[4.1.0]heptan-4-yl}-11,15-dimethylpentacyclo[14.2.1.0,.0,.0,]nonadec-8-en-10-one",523.24487,8.241,"","","Unknown","","",NA,NA,NA,NA,0.0380172567095021,0.00610036137542029,0.0385035870618167,550
"2-[(2R,4aS,8S,8aS)-8-[2-[(4aS,7R,8aR)-7-(1-carboxyethenyl)-1-hydroxy-4a-methyl-2-oxo-6,7,8,8a-tetrahydro-5H-naphthalen-1-yl]ethyl]-4a-methyl-7-oxo-1,2,3,4,8,8a-hexahydronaphthalen-2-yl]prop-2-enoic acid",555.23438,8,"","","Lipids and lipid-like molecules","Prenol lipids","Sesquiterpenoids",NA,NA,NA,NA,0.0326060588913447,-0.0204506312209321,0.0384887437280096,551
"2-Ethyl-7-Hydroxy-6,7-Dihydro-5H-Indolizin-3-One",180.09923,3.715,"","","Organoheterocyclic compounds","Pyridines and derivatives","Hydropyridines",NA,NA,NA,NA,0.0217297276766699,0.0317670601474552,0.0384880133978655,552
"Linoleamide",280.26324,8.725,"HMDB0062656","","Organic acids and derivatives","Carboximidic acids and derivatives","Carboximidic acids",NA,NA,NA,NA,-0.0190625043106498,-0.0334226047014129,0.0384766107605705,553
"(+)-(S,R)-Epoxyartemidin",217.06985,6.699,"","","Unknown","","",NA,NA,NA,NA,0.0256760264483154,0.0286440039657813,0.0384673536569165,554
"Veratramide",180.06683,6.351,"","","Benzenoids","Benzene and substituted derivatives","Methoxybenzenes",NA,NA,NA,NA,-0.0350555364491498,-0.0158329680254399,0.0384652247131389,555
"(6S,13R)-13-(Formyloxy)-6-hydroxy-2,4,8-tetradecatrienoic acid",281.13995,5.114,"","","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds",NA,NA,NA,NA,-0.0384277316996668,-0.00118609570075532,0.0384460321306754,556
"L-Proline",116.07056,0.646,"HMDB0000162","C00148","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",NA,NA,NA,NA,-0.0374155082150225,0.00881552062518573,0.0384400007658883,557
"6,10-bis(acetyloxy)-9a,11a-dimethyl-hexadecahydro-1H-cyclopenta[a]phenanthren-2-yl acetate",433.26248,9.273,"","","Lipids and lipid-like molecules","Steroids and steroid derivatives","Steroid esters",NA,NA,NA,NA,0.00520423638581921,0.0380710434719012,0.0384251015275025,558
"THYMIDINE",241.08336,1.779,"HMDB0000273","C00214","Nucleosides, nucleotides, and analogues","Pyrimidine nucleosides","Pyrimidine 2'-deoxyribonucleosides",NA,NA,NA,NA,-0.032758230393608,0.0200476235606771,0.0384058442030809,559
"Isofuranonaphthoquinone A",259.0275,5.899,"","","Organoheterocyclic compounds","Naphthofurans","",NA,NA,NA,NA,-0.038381658314848,0.00135728015069393,0.0384056493813763,560
"N-Acetyl-D-galactosamine",186.07584,0.656,"HMDB0000212","C01132","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates",NA,NA,NA,NA,-0.0383972951632776,9.61940338443829e-05,0.0383974156571508,561
"Liangshanine",374.26523,7.325,"","","Lipids and lipid-like molecules","Prenol lipids","Diterpenoids",NA,NA,NA,NA,-0.0372246259527316,0.00934587479507108,0.0383799186164578,562
"1,5-dihydroxy-3,6-dimethoxy-2,7-diprenylxanthone",425.19629,7.655,"","","Organoheterocyclic compounds","Benzopyrans","1-benzopyrans",NA,NA,NA,NA,-0.0383552960295925,-0.0010247407415299,0.0383689826175392,563
"Gymnasterone B",425.30392,8.571,"","","Lipids and lipid-like molecules","Steroids and steroid derivatives","Ergostane steroids",NA,NA,NA,NA,-0.0286105777244459,0.0255563456304558,0.0383626375489209,564
"11-(2,3-dihydroxycyclopentyl)undecanoic acid",285.20703,5.705,"","","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates",NA,NA,NA,NA,-0.00542493191253317,0.0379658534267317,0.0383514786243725,565
"4-(5-(7-chloro-5'-hydroxy-4,6-dimethoxy-3'-(methoxycarbonyl)-2',7'-dimethyl-3-oxo-7',8'-dihydro-3H,4'H-spiro[benzofuran-2,6'-quinolin]-4'-yl)furan-2-yl)benzoic acid",634.14929,9.196,"","","Organoheterocyclic compounds","Benzofurans","",NA,NA,NA,NA,0.0311677024061124,-0.022318526228208,0.0383346095098827,566
"heliocurassavicine n-oxyde",302.19626,3.267,"","","Organoheterocyclic compounds","Pyrrolizidines","",NA,NA,NA,NA,-0.0129055420091906,-0.0360960823125783,0.0383337993534088,567
"(1r,2s,3s,5s)-2-hydroxy-3-{[(2r,3r,4s,5s,6r)-3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy}-6-oxabicyclo[3.1.0]hexane-3-carbonitrile",304.09692,6.385,"","","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates",NA,NA,NA,NA,0.0374386341513881,0.00821511411361065,0.0383293546387248,568
"Eutypoid B",281.08191,4.882,"","","Benzenoids","Phenols","1-hydroxy-2-unsubstituted benzenoids",NA,NA,NA,NA,0.0104231553058524,-0.0368809902804176,0.0383255738455952,569
"Icosalide B",685.43488,9.144,"","","Organic acids and derivatives","Peptidomimetics","Depsipeptides",NA,NA,NA,NA,0.0315571208828208,-0.0217447743622648,0.0383234535301657,570
"(1s,9s,12r,14s)-5,9,13,13-tetramethyl-8-oxatetracyclo[7.4.1.0,.0,]tetradeca-2,4,6-trien-3-ol",259.16931,6.788,"","","Unknown","","",NA,NA,NA,NA,-0.0376819204451055,0.00698078568835455,0.0383230804771484,571
"L-Threonine",120.06551,0.614,"HMDB0000167","C00188","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",NA,NA,NA,NA,-0.0382268866343286,0.00257869078278725,0.0383137639485739,572
"()-petchioic B",227.12819,7.666,"","","Lipids and lipid-like molecules","Fatty Acyls","Fatty acid esters",NA,NA,NA,NA,0.0382653754527093,-0.00188510813276289,0.0383117813630353,573
"Varioxiranol I",425.19601,6.965,"","","Organoheterocyclic compounds","Benzoxepines","Dibenzoxepines",NA,NA,NA,NA,-0.0372617523986781,0.00887298699411752,0.0383036302459463,574
"17-hexyl-3,4-dihydroxy-2-(hydroxymethyl)-hexadecahydropyrano[2,3-b]1,4-dioxacyclohexadecan-6-one",445.31247,7.587,"","","Lipids and lipid-like molecules","Fatty Acyls","Fatty acyl glycosides",NA,NA,NA,NA,0.0159061654975813,0.0348398209457554,0.0382990760250002,575
"2-(2-hydroxy-2-phenylethyl)-1-methylpiperidin-3-ol",236.16203,5.545,"","","Organic nitrogen compounds","Organonitrogen compounds","Amines",NA,NA,NA,NA,0.0202486500579279,0.0324786356840715,0.0382736149986785,576
"Libertellenone G",315.19455,6.893,"","","Lipids and lipid-like molecules","Prenol lipids","Diterpenoids",NA,NA,NA,NA,-0.0379442847720622,0.00495008351390397,0.0382658081537288,577
"Herniarin",177.05424,6.06,"HMDB0029758","C09268","Phenylpropanoids and polyketides","Coumarins and derivatives","",NA,NA,NA,NA,-0.0352433478785044,0.0148701292678706,0.0382519844469338,578
"2-hydroxy palmitic acid",271.22806,8.472,"HMDB0031057","","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates",NA,NA,NA,NA,-0.0355634653117301,0.0140807524192497,0.038249544489717,579
"Mollugin",285.11261,5.167,"HMDB0254836","","Organoheterocyclic compounds","Naphthopyrans","",NA,NA,NA,NA,-0.0367866418338948,0.0103841432159163,0.0382241736044603,580
"Radulanin F",339.12631,8.399,"","","Unknown","","",NA,NA,NA,NA,-0.0173095726209153,-0.0340696178358643,0.0382146590171963,581
"Marinoquinoline G",197.1172,4.42,"","","Organoheterocyclic compounds","Quinolines and derivatives","Pyrroloquinolines",NA,NA,NA,NA,-0.0352906586380554,0.0146441450389168,0.0382083966037386,582
"4-methyl-5-[4-methyl-5-oxo-3-(3-oxobutyl)oxolan-2-yl]cyclopent-4-ene-1,3-dione",277.108,5.916,"","","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds",NA,NA,NA,NA,-0.0250614124881116,0.0288358541803394,0.0382044615484772,583
"Carotarosal A",233.15335,5.209,"","","Lipids and lipid-like molecules","Prenol lipids","Sesquiterpenoids",NA,NA,NA,NA,-0.037918339247776,-0.00463398123055325,0.038200448077929,584
"5,7,3',4'- tetrahydroxy-3-phenylcoumarin",285.04086,5.344,"","","Phenylpropanoids and polyketides","Isoflavonoids","Hydroxyisoflavonoids",NA,NA,NA,NA,-0.0379016186889953,0.0046312640827137,0.0381835213966684,585
"2,3-Dihydro-2,3-dihydroxy-9-(4-hydroxyphenyl)-1H-phenalen-1-one",305.08557,7.826,"","","Benzenoids","Naphthalenes","Phenylnaphthalenes",NA,NA,NA,NA,0.0155598019800258,-0.0348626169350187,0.038177342720722,586
"L-Glutamine",147.07655,0.523,"HMDB0000641","C00064","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",NA,NA,NA,NA,-0.00754536394944903,-0.0374218748040864,0.0381749817417424,587
"8-Hydroxypalmitic acid",271.22818,7.886,"HMDB0112186","","Lipids and lipid-like molecules","Fatty Acyls","Fatty acids and conjugates",NA,NA,NA,NA,-0.0242020184046518,0.0295200137992286,0.0381728818608938,588
"alpha-Cyperone",219.17455,7.609,"HMDB0037061","C17090","Lipids and lipid-like molecules","Prenol lipids","Sesquiterpenoids",NA,NA,NA,NA,-0.037920293912572,0.0043034960433522,0.0381637101001854,589
"2,3-dihydroxy-9,10-dihydroanthracene-9,10-dione",239.0351,5.167,"","","Benzenoids","Anthracenes","Anthraquinones",NA,NA,NA,NA,-0.0243339674508521,-0.0293932114357453,0.038158915739386,590
"Magnoporphine",387.20084,3.945,"","","Alkaloids and derivatives","Aporphines","",NA,NA,NA,NA,-0.0360841683852628,-0.0123983546904204,0.0381547691263552,591
"11-octadecyl-11h-5,10-dioxatetraphen-12-one",501.33588,9.222,"","","Phenylpropanoids and polyketides","Flavonoids","Pyranoflavonoids",NA,NA,NA,NA,0.0209080239582746,0.0319130561837931,0.0381521771440336,592
"(3aS,4R)-7-(hydroxymethyl)-2,2-dimethyl-5-methylidenespiro[1,3,3a,4-tetrahydroindene-6,1'-cyclopropane]-4-ol",235.16963,6.094,"","","Organic oxygen compounds","Organooxygen compounds","Carbonyl compounds",NA,NA,NA,NA,-0.0344600829348207,0.0163689026977954,0.0381502069641124,593
"(1s,3r,7r,8s,11s,12s,15r,16r)-7,12,16-trimethyl-15-[(2r)-6-methylheptan-2-yl]pentacyclo[9.7.0.0,.0,.0,]octadecan-6-one",413.37866,7.386,"","","Unknown","","",NA,NA,NA,NA,0.0289998852659431,0.0247824258072448,0.0381465853560899,594
"5,9,11,13-tetrahydroxy-2,6,10-trimethyl-8-oxatetracyclo[7.3.1.0,.0,]tridecan-4-one",297.13446,4.49,"","","Unknown","","",NA,NA,NA,NA,-0.0373212255828653,0.00787157926036588,0.038142307731171,595
"5,7-dimethylquinolin-6-ol",174.09135,5.248,"","","Organoheterocyclic compounds","Quinolines and derivatives","Hydroxyquinolines",NA,NA,NA,NA,-0.0378238154746466,-0.0047445305525229,0.0381202254351143,596
"Pyrrospirone H",504.31012,6.721,"","","Phenylpropanoids and polyketides","Macrolactams","",NA,NA,NA,NA,0.0380019477512165,-0.00299230702889804,0.0381195741613332,597
"RAFFINOSE",522.2016,0.624,"HMDB0003213","C00492","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates",NA,NA,NA,NA,-0.0318136982614577,0.0209630820589796,0.0380993727833226,598
"4-(4-methylcyclohex-3-en-1-yl)pent-3-en-2-one",179.14275,5.543,"","","Lipids and lipid-like molecules","Prenol lipids","Monoterpenoids",NA,NA,NA,NA,0.0125807075027364,0.0359577722631009,0.0380950861318679,599
"3Z,9Z-Octadecadienoic acid",281.24722,9.275,"","","Lipids and lipid-like molecules","Fatty Acyls","Lineolic acids and derivatives",NA,NA,NA,NA,-0.0186951222420497,0.0331882385066356,0.0380915577368334,600
"Brasoside",359.13599,4.92,"","","Organic oxygen compounds","Organooxygen compounds","Carbohydrates and carbohydrate conjugates",NA,NA,NA,NA,-0.0319534056283571,-0.0206665521559301,0.0380542574393997,601
"L-Tyrosine",182.08113,0.981,"HMDB0000158","C00082","Organic acids and derivatives","Carboxylic acids and derivatives","Amino acids, peptides, and analogues",NA,NA,NA,NA,-0.0378239973243317,0.00413818704083248,0.0380496959984697,602
