Name,m/z,RT [min],HMDB,KEGG,Super_Class,Class,Sub_Class,log2FC_Processing_1,log2FC_Processing_2,log2FC_Processing_3,log2FC_Processing_4,YS0_F-1,YS0_F-2,YS0_F-3,YS25_F-1,YS25_F-2,YS25_F-3,YS50_F-1,YS50_F-2,YS50_F-3,YS75_F-1,YS75_F-2,YS75_F-3,YS100_F-1,YS100_F-2,YS100_F-3
"9-(2,3-dihydroxypropoxy)-9-oxononanoic acid",261.13464,4.425,,,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,,,,,448595.9107430616,426375.82282359386,475598.9393333446,289486.6882508348,291270.86680046,312966.3246487052,550261.934736954,626574.8597726056,600873.7001904405,310027.1682901478,320534.8517584885,301992.07975136366,301832.18710695615,241071.05776270916,284482.78923033475
"5,7-dihydroxy-3-(3-hydroxyoxolan-2-yl)chromen-4-one",263.05893,4.722,,,Organoheterocyclic compounds,Benzopyrans,1-benzopyrans,,,,,18762.125832508038,14673.812394734327,16865.732392757636,11242.178952610682,9356.079772538442,11291.729874850871,4010.434573354728,4495.610544640203,3977.465332005068,6185.865500154435,5512.453502083005,5040.1792967625615,7970.936834408512,10332.487295830057,7829.809035761433
"7-(2,3-dihydroxy-3-methylbutoxy)chromen-2-one",263.09213,5.145,,,Phenylpropanoids and polyketides,Coumarins and derivatives,,,,,,26364.79523548689,26839.34158116028,25816.56347335284,8408.707091500135,7770.497400377847,7737.725598122013,30696.681776079095,30339.3004886947,40084.5178752262,7318.684537723811,8471.765696166376,8014.927568109814,22983.991894754017,21566.418053178142,19925.381402067844
"5,8-dihydroxy-9-methyl-3,6-dimethylidene-octahydro-3ah-azuleno[4,5-b]furan-2-one",263.1282,5.555,,,Lipids and lipid-like molecules,Prenol lipids,Terpene lactones,,,,,406641.67299481557,419160.17860959616,351595.8357955883,53002.101093446414,53304.889474425705,47934.295012127885,77960.61120990664,74176.51449504048,71333.0708850529,10475.847360698172,11103.339358791623,12256.295610510198,224255.1305052122,235451.99136711363,278890.1304276741
Legonindolizidine A,263.13965,6.943,,,,,,,,,,7162.533088364619,7466.974330741595,5951.701535893788,7604.683148272543,7454.606054358644,7411.50073936881,40813.14081843859,47108.37909979267,38271.01153176875,72321.5615247746,68576.66525730533,67933.07911792006,75038.12558829153,82905.35203466995,80389.09486703857
"(3R,3aS,6E,10E,11aS)-3-(methoxymethyl)-6,10-dimethyl-3a,4,5,8,9,11a-hexahydro-3H-cyclodeca[b]furan-2-one",263.16528,7.404,,,Organic acids and derivatives,Vinylogous acids,,,,,,535859.8962820938,507413.26382582984,529728.6388920762,395822.6758023206,414589.43655991583,482083.94643776334,715200.3765427019,752583.6436595568,658545.7002977416,582550.3257232527,546799.6607533605,525663.831923387,475546.1118750468,508580.85731306905,475362.8032118841
"(1r,2s,3s,6s,7r,8s,10s,11s)-8-hydroxy-1,6,10-trimethyl-4,14-dioxatetracyclo[9.2.1.0,.0,]tetradecan-5-one",265.14426,6.008,,,,,,,,,,733043.6191949378,701117.4785294383,744430.8361756236,466128.27516814764,423028.7746119885,443960.4292198639,464653.4310005262,479678.12398199865,444213.0780174754,424137.48731209134,484955.7109567095,385001.5812311989,417169.0597678528,420279.4158823604,390955.89304978686
C12-AS (TENTATIVE),265.14685,6.408,,,Organic acids and derivatives,Organic sulfuric acids and derivatives,Sulfuric acid esters,,,,,153314231.66019592,135569095.2704032,145265127.8694009,37214476.574198,30073348.675186794,29421412.190615207,31235130.61310331,32586850.24704306,32500279.139853626,25388190.7950519,27176849.266065814,25681287.7188823,63000727.481368564,58776057.99915773,56901782.64947371
"2,9;-DEOXYGUANOSINE",266.08881,1.102,,,"Nucleosides, nucleotides, and analogues",Purine nucleosides,Purine 2'-deoxyribonucleosides,,,,,9478801.454471577,8634505.300921893,8701441.723606534,3580369.4504936147,3676076.1036340916,3562396.6508722934,2482088.782083747,2502920.7408636995,2556722.5470525543,2743543.0164652653,2554441.8139885888,2952969.430546145,1572976.43211396,1436692.0749254776,1629048.408960563
Peniamidone B,266.10333,6.783,,,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,,,,,1201794.956239963,1069813.893819143,1087212.9089408943,1228541.535856862,1086020.083473636,1100785.9236695017,1195957.7721088028,1205923.7940348722,1152434.9978563255,1341803.5283402344,1197523.9198402518,1291588.6808195144,1269480.122436071,1115660.1235408748,1228565.2120230547
"5-Hydroxy-1,2-Methylenedioxy-Anthraquinone",267.02921,4.762,,,Benzenoids,Anthracenes,Anthraquinones,,,,,14095.177501484637,12276.15397384585,15793.82551466951,6749.285824586345,6268.187230993634,7470.0504174200205,35273.92019013046,35803.00623371734,42618.1756561522,25791.329001238846,22290.543305700416,27148.729713060755,11621.705864868076,11944.870204958857,12266.369470173062
Formononetin,267.06583,5.945,HMDB0005808,C00858,Phenylpropanoids and polyketides,Isoflavonoids,O-methylated isoflavonoids,,,,,120705.41495086573,154324.19944271358,141971.14430642058,82789.05347448622,77277.22359529101,80049.30567022276,80297.89461231876,89678.92588966909,88894.95561801216,62910.65680417821,69337.63782642352,64669.10301939828,11679.321998338966,14354.426019093,11727.353682568037
"9-(3,4,5-trihydroxyoxan-2-yl)-6,9-dihydro-1H-purin-6-one",267.07117,0.655,,,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,,,,,3916264.995362415,4034187.249437564,4515482.501200019,2075033.0386941943,2026186.4736521333,2074997.880653673,908415.1190560404,885739.8155606583,838274.1972833017,2217463.7452129237,2928123.7664399543,3055975.7903471207,3289396.4329946204,2859551.021905386,3028262.152099993
Inosine,267.07376,1.062,HMDB0000195,C00294,"Nucleosides, nucleotides, and analogues",Purine nucleosides,,,,,,3235969.690290273,3176407.2860764167,3059787.3836333095,883623.4313735329,775573.8266267378,923619.7248997291,412570.7434768277,427639.9894077055,479663.91031546704,767217.4903617335,787507.1701642973,727670.0108739692,447962.6654300171,389332.53076879616,367531.6715011866
Rugulovasine A,267.11688,6.003,,,Organoheterocyclic compounds,Indoles and derivatives,Indoles,,,,,317633.535311144,314578.595703143,314724.638985713,41072.02239383408,37952.91379731433,45976.85703885161,168686.6018471582,229325.58003976103,207570.1596130808,74828.9408159632,69329.89196587952,76268.63909815725,197855.4989158901,183963.94216648248,185390.66001762744
"2-[(1s,4r,4as,6s,8as)-6,8a-dihydroxy-4,7-dimethyl-2,3,4,4a,5,6-hexahydro-1h-naphthalen-1-yl]propanoic acid",267.16025,5.474,,,Lipids and lipid-like molecules,Prenol lipids,Sesquiterpenoids,,,,,650192.5877983334,640402.7092225349,615524.2678791318,34357.22477721508,28311.15670956211,30363.719683222815,68769.26419660685,71187.04887163507,69521.2258017581,39290.34799053283,41494.790324667454,39730.076854799714,178780.36822808138,169351.89175820805,153969.79901371058
"4,5-dihydroxy-1-(piperidin-1-yl)dec-2-en-1-one",268.19189,5.831,,,Organoheterocyclic compounds,Piperidines,N-acylpiperidines,,,,,1111899.8885455679,1220699.4266131863,1206957.497841246,1588545.9817724242,1434771.3440696266,1645057.8241579493,716005.1594815947,768407.320708461,767957.1673099442,1154046.9164454783,1228247.5059110066,1292187.8046435157,623194.564147688,581901.3983362132,659695.3846160986
"1,3,6-trihydroxy-2-methyl-9,10-dihydroanthracene-9,10-dione",269.04544,5.413,,,Benzenoids,Anthracenes,Anthraquinones,,,,,292727.3369845619,296640.03962811857,293660.7272873197,414160.29543365893,401332.2504246639,360848.6831416774,109249.31408495414,111653.43132030722,89115.4257947387,124446.16636473492,140278.7997531334,133649.4963821317,67105.88900668714,74322.7171740164,56447.58558929647
Genistein,269.04565,5.084,HMDB0003217,C06563,Phenylpropanoids and polyketides,Isoflavonoids,Isoflav-2-enes,,,,,52952.54458990459,46759.94416687408,54412.44155322133,11991.020464258074,13891.192316592174,13037.660339149745,46793.323238381156,54748.44634426415,43888.922857354686,68003.50829096304,66778.27309945553,73171.28875958147,61407.865012397524,52877.194692143144,54805.40375545933
"4,5-dihydroxy-2-methoxy-7-methyl-10h-anthracen-9-one",269.08121,5.121,,,Benzenoids,Anthracenes,,,,,,152520.82065467376,130829.34549566118,123428.72704966506,119452.0180426389,143983.84674488739,143816.96241247366,144412.5236912675,148775.27712783215,158773.07118090038,154113.59859147397,137343.1069551774,162763.31195334857,131850.36930341442,118783.88568138561,146524.31861519997
"(4r)-4-ethenyl-4,10-dimethyl-3h-pyrano[3,2-c]chromene-2,5-dione",269.08121,5.731,,,Phenylpropanoids and polyketides,Coumarins and derivatives,Pyranocoumarins,,,,,1143198.3514438858,989524.1094491868,1111004.5741069275,1157529.5185096746,1189867.9527891006,1143235.734701225,1667428.5702290253,1734759.5874874901,1618621.6522834846,1166868.6564011371,1280164.616183505,1383122.1524153582,939245.2358741246,910165.9146838201,949390.756742055
2-[2-(4-hydroxyphenyl)ethenyl]-6-methoxybenzoic acid,269.08124,5.515,,,Phenylpropanoids and polyketides,Stilbenes,,,,,,1654084.632621782,1545417.0372903508,1362649.1470878683,2201783.850769134,1999312.4072296442,1953501.8390012213,3354441.6604804723,3261189.987919769,3142619.44359976,2407523.727870464,2498879.2202217784,2228868.874907758,1951963.0545735322,1740266.9350601486,1679360.766366319
"(1S,6R)-9-chloro-2,2,6,8-tetramethyl-7-oxatricyclo[6.2.2.01,6]dodecan-4-one",269.13162,6.966,,,Lipids and lipid-like molecules,Prenol lipids,Sesquiterpenoids,,,,,523726.3614328602,582146.8726760847,620220.931591055,345919.44075555727,419083.88639222214,403266.9013522206,7063125.647504838,6791160.69754754,7642272.703947624,6470056.350341959,6223839.533959802,5848272.581698237,615753.0682821104,542039.1343998016,585645.5444180878
Pallidopenilline A,269.13959,5.543,,,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,,,,,98563.77885878428,105255.50396886772,102742.597972348,132956.1667008438,140438.13440183594,143464.6928973202,330838.1680608795,295437.0315642216,320850.3849748988,226156.47454159035,261935.6980395043,286676.4994189054,463936.06621086836,340644.69944598305,437408.11094314855
3H-pseudozoanthoxanthin,269.15414,7.261,,,Organic nitrogen compounds,Organonitrogen compounds,Amines,,,,,33739136.22427257,37233253.82816505,37993408.16756241,44598377.369448096,33604134.1069941,36305029.87355781,40344710.39150542,36463226.44085584,40436090.06763873,35874642.12199797,40408502.22695234,38957310.80104969,38852365.13423431,34237273.743609995,41545560.66215569
"(2S,3aR,6S,7R,7aS)-2-[(1R)-1-hydroxy-3-methylbutyl]-6-methyl-3-methylidene-4,5,7,7a-tetrahydro-3aH-1-benzofuran-6,7-diol",269.17538,6.089,,,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,,,,,894242.6795233316,944889.0104732198,980191.9915034485,36632.171056629864,30641.905212287707,30008.49108108242,19598.673762890587,20903.92383048457,19978.28386662484,15243.664003114933,14581.671443397672,15182.345423487395,16662.81987719255,17244.69896800871,18354.96446479874
4-keto palmitic acid,269.21228,6.853,,,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,,,,,1029376.5285563444,966535.600619569,928240.8958240865,1729235.23873034,1646403.4065924136,1864524.8676772472,341028.02452128,360053.8563748416,390373.03500387835,195560.4314082362,200350.21080964842,206618.47358211537,148392.21824198106,149364.35669164464,136028.99476637426
3-keto palmitic acid,269.21228,7.915,HMDB0010733,,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,,,,,499880.35790263774,432586.3279942841,498314.28980307793,284692.66140923416,306598.82262223325,266107.8316685326,410938.0948999312,389696.3249783016,458380.8265217673,130033.08265380385,129392.98396526225,143471.05848093386,239589.06514557355,228180.38653406803,223692.8077203583
16-oxohexadecanoic acid,269.21246,6.986,,,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,,,,,2117094.895561971,2058198.1523318135,1557710.036106216,5678942.664545385,5890128.09520127,5401353.852253346,943865.8400813038,1158771.9536959925,1042115.5692227042,879001.3087045276,861501.8777186143,1058111.0255768576,517756.9757105471,418899.39830283716,387692.9020866156
2-keto palmitic acid,269.21249,8.15,,,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,,,,,1578440.0539008265,1681866.3258053623,1948361.975293811,1475169.120487413,1477913.2782084337,1449435.1723041537,789540.8278571496,905535.6947251145,871520.8481177356,955632.2123118774,998468.5412996488,923598.955888474,1188070.4685400634,1397218.426055554,1059409.0324043825
16-hydroxy-9E-hexadecenoic acid,269.21255,7.33,,,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,,,,,348914.3804463265,394964.14886649966,366612.82448717393,533218.5166409123,495556.6349716776,522463.4749874102,63499.311651325166,67572.4671496055,57815.88238906932,108294.00228055347,97383.37566361229,90772.01345583421,94167.18856703906,102956.0734983186,78830.8750746423
Naringenin,271.06079,5.36,HMDB0002670,C00509,Phenylpropanoids and polyketides,Flavonoids,Flavans,,,,,548348.5504674265,399985.87274493644,418013.7824876368,204937.65330835906,216447.26836070768,234550.46053093323,31121.7192261963,28608.382745908162,27747.72614789555,130906.7531409418,157688.4893392765,165693.9487197817,187855.84497016066,171244.13886031712,175975.98296952219
6-Methoxymicrominutinin,271.06082,6.434,,,,,,,,,,293505.67705214326,236162.33875454337,242029.58079331327,260116.30718499265,267489.7166981246,306459.7835168827,262542.5275662646,224463.90884930026,222853.56988443513,434106.60293545335,482979.1941670336,531225.1070975132,752556.031274131,678077.3722041165,829068.2074217518
"2,4,2',4'-Tetrahydroxychalcone",271.06467,4.375,,,Phenylpropanoids and polyketides,"Linear 1,3-diarylpropanoids",Chalcones and dihydrochalcones,,,,,605600.3283423505,679112.3943981386,655641.7900595109,475941.9427636669,451557.39635921747,478206.8559771158,659403.5903956237,592627.3431455317,669766.1555588443,797164.4335880153,760592.6842536654,874619.5163583192,672777.1149476425,639808.8866795694,591905.8211727882
Hypostrepsilic acid,271.06467,7.087,,,Organoheterocyclic compounds,Benzofurans,Dibenzofurans,,,,,147511.2167498265,134250.38936946896,152564.22878070455,118594.02253870532,140731.0726595689,139974.39180172572,125942.99255853402,111543.68026514276,118165.09597632322,67578.74643130954,62150.584552468215,63441.28347622223,88623.47864970317,90419.47979588185,89030.55525441495
"6,7-dehydromoluccanic acid",271.13431,6.148,,,Benzenoids,Naphthalenes,,,,,,1127278.2473499721,1021714.2629028785,1113121.3687471496,742346.7433198699,788484.2867676642,686382.2396124658,601214.1454805237,557633.3749492515,662880.1895702245,727590.191085976,693148.4451826366,593788.5350313871,803158.3751221901,665870.6854344446,691255.1468433656
Penicillinolide A,271.15457,5.028,,,Organoheterocyclic compounds,Lactones,,,,,,280336.96007303277,270987.34666918434,260837.15845778276,53004.673170337344,41076.1523503943,46317.45043926837,342226.32026371214,398674.41412815126,392066.8795081366,16669.301335793014,18061.387333147777,21116.86031105921,141940.6105290704,150157.7544614312,134922.03460949837
"(2S,3R,3aR,6S,7R,7aS)-2-[(1R)-1-hydroxy-3-methylbutyl]-3,6-dimethyl-3,3a,4,5,7,7a-hexahydro-2H-1-benzofuran-6,7-diol",271.1907,6.653,,,Lipids and lipid-like molecules,Prenol lipids,Monoterpenoids,,,,,1011350.0010277266,814783.7255486734,1001935.4832235997,996486.9531135167,947387.3063382161,895439.8263482675,971637.7461078244,932637.3631971345,1081729.7646950409,1048295.8582167808,979585.197931446,1004094.5608517731,912213.1573249521,900032.3295659747,983342.081809073
9-methoxy-pentadecanoic acid,271.22787,7.237,,,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,,,,,877945.8123226402,768429.0006026232,742825.076374737,481218.0173073237,527560.7690285912,493363.28896408505,522224.92273385415,639442.8299567578,586407.323309388,473360.37095830386,519314.7900800334,575412.0502616628,541899.7683689217,413399.66887105285,466457.3836600256
2-hydroxy palmitic acid,271.22806,8.472,HMDB0031057,,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,,,,,8258575.788109405,7777692.210642274,7804064.288248324,4074193.1446168083,4204253.159288059,3820314.656095132,3889054.395869075,4004598.0049549574,3782679.7501759687,3131001.0162810404,3943150.935040001,3742853.8966789586,3635820.1699020606,3552104.3354416518,3384217.382656288
7R-hydroxy-hexadecanoic acid,271.22812,7.707,,,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,,,,,1469542.238483381,1593172.5481488341,1675105.968367785,772077.775671877,822964.6644486939,802344.6294794298,1393472.15114601,1463204.8127307852,1564016.0231232047,1137795.6304823689,1105766.9889087758,1087902.763608855,1106871.3542331182,1087383.2014857316,1091068.3612811498
3S-hydroxypalmitic acid,271.22812,8.211,,,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,,,,,6282947.7611097805,5559530.112393129,6600456.316497092,3636200.502504992,3449381.7849455695,3939338.8155494393,4374850.643657387,4259582.755091585,3685901.129251027,3614140.4863050748,3629547.084731835,3268128.8199630897,3329196.3340008846,3923401.622306297,3499335.9836928183
8-Hydroxypalmitic acid,271.22818,7.886,HMDB0112186,,Lipids and lipid-like molecules,Fatty Acyls,Fatty acids and conjugates,,,,,1768643.468646435,1699996.9107838513,1761210.2015697141,1550598.792663984,1330551.916838322,1376436.051497694,1241084.4912138358,1180748.0868009366,1209851.9249852274,1156156.9780060342,1298433.209454956,1193611.6165390096,1336900.4796906647,1245686.6377438612,1167751.471565474
"N-(3,4-Dihydroxybenzoyl)tyramine",272.09238,7.086,,,Alkaloids and derivatives,Amaryllidaceae alkaloids,Norbelladine-type amaryllidaceae alkaloids,,,,,861755.2453211447,790569.8072893604,896227.9759894947,882409.2301963242,889771.1047494707,981290.6708542051,932707.2330510982,930815.2526642822,958077.7847846197,952286.0931430872,879499.597992227,926608.2762646856,782311.9508388493,917333.9170178312,1008955.4246433199
"(7,8-dihydroxy-2-oxochromen-6-yl)oxidanesulfonic acid",272.97412,4.596,,,Phenylpropanoids and polyketides,Coumarins and derivatives,Hydroxycoumarins,,,,,212815.88721037842,228186.57796791196,250890.40702170954,324695.797329821,331608.481443655,296207.3651265239,278122.92756301,276210.2104061493,269847.43303084077,318538.5845192466,288365.15625664446,377858.20432410896,287175.6711273353,290869.82027867186,249858.03069399286
Questiomycin C,273.03345,3.477,,,Organoheterocyclic compounds,Benzoxazines,Phenoxazines,,,,,98365.5208319119,79304.5546920031,85644.49749608507,179770.83308956656,187518.554862645,195768.04624778862,118026.67035528789,136949.6892922343,124692.16205247775,25511.457489786302,26388.48826932968,28227.824610884014,55688.17375381848,55087.05671583764,54927.252980343874
Coprismycin B,273.07275,1.073,,,Organoheterocyclic compounds,Pyridines and derivatives,Phenylpyridines,,,,,4225047.871174391,3649227.6910835165,3942437.4337420915,1696509.1243595944,1579560.9773500743,1332016.4572903307,959540.9143142096,1161970.836931291,1120595.2567544992,916253.456350077,873547.9848664209,956655.5591835021,578065.9053221063,532271.0767190955,451308.63885879825
"1,2:9,10-Diepoxy-4,6-heptadecadiyn-3-one",273.17026,5.68,,,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,,,,,17265.7137378113,17749.495645918065,19447.272896270628,77550.92750323363,72969.46032766176,73547.12978910461,54737.56008919216,54404.605578500494,57453.93792230734,58398.048219655415,68597.070609535,64132.71571080959,76037.53219315842,65254.113007551416,62290.6783292902
cis-p-Coumaroylagmatine,275.14978,8.984,HMDB0033460,C04498,Phenylpropanoids and polyketides,Cinnamic acids and derivatives,Hydroxycinnamic acids and derivatives,,,,,2648055.1880272427,2517350.9228126574,2560122.9991601002,1211534.651044081,1112508.0652395284,1066167.6977163912,2261996.1541756396,2268257.3737302246,2479821.5720941364,2992163.159178253,2558838.902495035,2553909.442326713,2398093.335615037,2080036.3656169137,2220074.42276805
Penitol A,275.16891,7.045,,,,,,,,,,309462.6516891462,286732.7725162725,264839.53569458146,333617.49966019206,444280.2421526301,348172.0797871779,254522.8737832521,221031.2067056191,207038.99691112892,441909.4897280221,380900.49991147,405706.2268605079,374521.55129213416,370910.3106560838,342246.1601517822
"(2Z)-5-[(1R,5R,6S)-2,6-Dimethylbicyclo[3.1.1]hept-2-en-6-yl]-2-methyl-2-pentenoic acid, anhydride with acetic acid",275.16904,6.226,,,,,,,,,,38061.53081752401,37602.52180048505,37404.84857199095,256725.70691955736,277416.0992784038,263713.93310203875,3177.6161028230376,3579.7606103424964,3893.6758998344662,3058.3742627973074,3107.065144460865,3526.253249741827,20815.895138882755,19697.823430127268,21863.559580989975
"4-methyl-5-[4-methyl-5-oxo-3-(3-oxobutyl)oxolan-2-yl]cyclopent-4-ene-1,3-dione",277.108,5.916,,,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,,,,,119763.1518264511,134200.1523841373,111932.8021894116,96875.62238860448,96330.90824300976,79299.36633838573,73516.537350524,70428.49282288874,61047.48412658725,55692.394901656764,64349.67435089727,60249.229307445974,66500.73678944311,68901.95629034868,75652.33150020824
alpha-Cehc,277.14386,8.16,HMDB0001518,,Organoheterocyclic compounds,Benzopyrans,1-benzopyrans,,,,,3689426.2584789908,3159082.406451368,3647389.5820696405,4280975.034159577,4025853.7582958294,3959977.2695445926,3537994.1772270496,4097147.747248731,4023803.3665242195,2502918.8624309176,3094976.2975895177,3159784.027979565,3432799.9488139553,4257319.966971763,3185904.0652142805
"(1s,3r,9r,10s,13r)-3-methoxy-6,9,10-trimethyl-4,14-dioxatetracyclo[7.5.0.0,.0,]tetradec-6-en-5-one",277.14386,6.452,,,,,,,,,,610851.1058322816,576640.7978850835,647911.050082635,504525.0462607752,440681.4254003113,489156.3186389134,790836.9357800588,709247.2542582427,629982.8785616985,444193.83092904085,442145.5712662554,550869.4896047038,565261.7007079698,572083.7378470058,582242.9622450242
Di-n-butyl phthalate,277.14404,7.203,HMDB0033244,C14214,Benzenoids,Benzene and substituted derivatives,Benzoic acids and derivatives,,,,,1375667.234982869,1279675.321231282,1137672.2687858485,1709977.8682422622,1419696.3988387955,1491667.347918943,1380072.546887649,1773873.5199539338,1414252.5161584173,1426118.717406869,1694566.0013439837,1559287.3182491472,1532228.787581451,1376186.1902984767,1555322.315120073
"11-imino-9-propyl-10-oxa-6,8,12-triazatetracyclo[6.6.1.0,.0,]pentadecan-7-one",277.16614,7.877,,,,,,,,,,23467786.87588351,19326738.998008974,20041344.426107526,18882876.213474467,14023130.5869043,16141439.659621235,21191424.193485636,22836947.4856136,23200487.33090078,21174966.832425855,22464233.185473386,21152089.272100754,23847438.746208597,20100053.649059072,22194786.804732334
"(3s,4r,5s,6ar,9s,9ar,9br)-4,5-dihydroxy-3,9-dimethyl-6-methylidene-octahydro-3h-azuleno[4,5-b]furan-2,8-dione",279.12344,5.328,,,Lipids and lipid-like molecules,Prenol lipids,Terpene lactones,,,,,393126.8834017816,381695.51503667125,433007.038161547,31965.547350108107,32430.269781681087,33156.41760821079,90254.59767200904,90888.45152149929,97015.60224649169,108081.18920266669,106758.32778224906,109223.14371508425,116931.71889868422,123982.33568026517,115139.75142105058
(+)-5(6)-dihydro-6-methoxyterrecyclic acid A,279.15851,6.334,,,Organoheterocyclic compounds,Naphthopyrans,Naphthopyranones,,,,,352964.0005997983,321315.17638538964,375766.9681148123,267889.8922919531,301045.1390679427,287084.71994010423,345542.0137712732,321146.4492293098,339665.99169941695,329165.69745144394,376891.74533747806,328891.9151110782,281460.93006058154,290280.26001265715,235166.29922676124
4-epi-8-hydroxy-15-epi-brefeldin C,279.15997,6.955,,,Phenylpropanoids and polyketides,Macrolides and analogues,,,,,,2485351.123110746,2048148.3270488568,2613910.4448403963,2228017.6351245726,2174723.239972809,1779532.9299026183,2037694.7882412449,1929999.1514822184,2336869.702276537,2351607.45270721,2021052.9094343353,2047456.5928584544,2057099.918352886,2131313.1595248934,1907798.1911222206
"(2r,3s,4s,5r,6r)-2-(hydroxymethyl)-6-{[(2e)-3-[(s)-methanesulfinyl]prop-2-en-1-yl]oxy}oxane-3,4,5-triol",281.07065,5.244,,,Organic oxygen compounds,Organooxygen compounds,Carbohydrates and carbohydrate conjugates,,,,,226171.27593291065,270252.43027281173,235829.61349427764,136166.8801887867,131963.40606036127,141251.82275085204,230709.82525890222,210266.54171080224,205072.4108302956,161827.8664077948,194874.4561391196,176300.96345308563,177214.9667688761,160588.74322955718,190883.78020156673
Eutypoid B,281.08191,4.882,,,Benzenoids,Phenols,1-hydroxy-2-unsubstituted benzenoids,,,,,337254.50656755164,355441.98867056606,394654.7515618823,302579.6865822316,329659.06502852455,293920.8652892438,398066.04816954304,396890.0104889281,422211.38434152893,412873.52002797823,408480.19491678337,423972.51165523846,362069.19153780513,361144.03156178485,348471.3469004099
"(6S,13R)-13-(Formyloxy)-6-hydroxy-2,4,8-tetradecatrienoic acid",281.13995,5.114,,,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,,,,,1833815.263257593,1666903.707875076,1615085.9078673304,45660.43671264955,45047.086473342424,48363.34073400803,86779.30979134988,98538.41124687596,96306.68604177417,43432.61937675635,40772.12235186493,50876.3696913787,113756.88155427077,101908.53459202246,116106.58155370677
Fuscoatrol A,281.17572,5.503,,,Organic oxygen compounds,Organooxygen compounds,Alcohols and polyols,,,,,252041.8262296925,297233.51792776125,242739.28054254633,31373.14630157544,29340.743462634895,30654.532125789672,16360.724135885792,17635.255368635306,17594.796875478896,36583.240721042435,39995.7852087404,32342.94697021716,36842.15404809114,36540.284187628364,38449.06375428048
Guanosine,282.08456,1.045,HMDB0000133,C00387,"Nucleosides, nucleotides, and analogues",Purine nucleosides,,,,,,1755765.757850695,1669991.00151978,1788291.9636295247,343783.55564742215,364526.1268637071,347672.43778887065,194930.28422445222,249632.26973104262,210067.7949445051,284660.1358710936,270726.90548696305,299492.38714194327,150383.95201969464,172673.23070234407,147401.38837796132
Puerariafuran,283.06088,5.825,,,Phenylpropanoids and polyketides,2-arylbenzofuran flavonoids,,,,,,156865.4313586159,165232.09665071496,162688.20429066918,186384.70398162844,183903.5930872109,217232.15773116078,179156.5041631016,180070.54204422244,187444.204692676,145698.2023771785,180716.48010252722,190686.31512029417,175159.37439868666,146111.68989118794,172567.1236101254
Wogonin,283.06097,6.185,,C10197,Phenylpropanoids and polyketides,Flavonoids,O-methylated flavonoids,,,,,480511.47335527086,517391.00876949786,511337.7176752313,137654.68160704194,121790.2152574597,115683.97683549831,56439.88355217377,71032.89892008647,67089.24446773973,108963.46938640227,98216.3685012136,118533.43031238414,59306.4684762464,56698.679023798824,52363.95326995476
Sissotrin,283.0611,5.023,HMDB0033990,C05376,Phenylpropanoids and polyketides,Isoflavonoids,Isoflavonoid O-glycosides,,,,,226934.19875181888,191309.05529208432,242460.87025609682,448994.835846284,428365.9684338264,483522.9155198896,643623.6302797551,663112.6192425297,660366.2563777155,325618.4765053268,352825.30828504637,332002.17850962677,267724.31217909954,256468.44026605968,235163.9358548408
4-[4-(2-carboxyeth-1-en-1-yl)phenoxy]benzoic acid,283.0611,5.506,,,Benzenoids,Benzene and substituted derivatives,Diphenylethers,,,,,147976.81066453044,131460.06831682724,136547.6132186423,17053.728663825674,16042.435409551204,16766.381726623134,10040.810796448006,8543.059501673555,9773.52208587844,6063.919919704442,6275.725145098494,5785.413856197066,7601.196095174757,7233.65996517971,9060.179594645539
"5,4'-Dihydroxy-7-methoxyflavone",283.06116,5.288,HMDB0252684,C10046,Phenylpropanoids and polyketides,Flavonoids,O-methylated flavonoids,,,,,115274.09699691262,100702.85825079886,117351.17095228856,97945.16504567351,90003.99319248773,108924.68096183875,80800.88313499562,83949.35871343706,87879.70550156728,40369.232328929225,51017.60347014756,47520.19260092324,46250.956619836375,45865.80847390765,48931.60318625598
